statename,noVehicles
California,14894912
Texas,8313623
Florida,7841189
New York,4444391
Ohio,4423248
Illinois,4322850
Pennsylvania,4267811
Georgia,3499520
North Carolina,3434565
Virginia,3187026
Washington,2943914
Michigan,2831499
New Jersey,2639261
Arizona,2405959
Indiana,2185979
Tennessee,2185229
Alabama,2109108
Massachusetts,2088674
Missouri,2052788
Wisconsin,2004002
Maryland,1868994
Minnesota,1836831
South Carolina,1801243
Colorado,1741218
Kentucky,1669167
Oregon,1424799
Louisiana,1349720
Connecticut,1260954
Oklahoma,1255134
Iowa,1221843
Nevada,1060188
Kansas,947148
Utah,921645
Arkansas,886647
Mississippi,806061
Nebraska,661864
New Mexico,641838
Idaho,602170
West Virginia,536646
Hawaii,498992
New Hampshire,489224
Montana,439118
Delaware,423462
Rhode Island,396508
Maine,373868
South Dakota,342868
North Dakota,228881
Vermont,206621
District of Columbia,203771
Wyoming,196219
Alaska,178516
